Category,Diagnosis,Symptoms
Allergy,Allergic Rhinitis (Hay Fever),"Headache, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Urological,Kidney Stone,"Headache, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fatigue, High fever, Runny nose, Sore throat"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fatigue, High fever, Malaise, Runny nose, Sore throat, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Loss of appetite, Shortness of breath, Wheezing"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Dizziness, Inability to bear weight, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Fatigue, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Wheezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Headache, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Fever, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Chills, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Inability to bear weight, Loss of appetite, Swelling, Tenderness to touch"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints, Weakness"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Chills, Fatigue, Inability to bear weight, Malaise, Severe leg pain, Swelling, Visible deformity"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fatigue, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Dizziness, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Nausea, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Malaise, Runny nose, Sore throat"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Fever, Headache, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fever, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of appetite, Loss of taste or smell, Shortness of breath"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Fever, Loss of appetite, Shortness of breath, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Chills, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Shortness of breath, Weakness, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Neurological,Migraine,"Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Dizziness, Frequent urination, Pain or burning on urination, Pelvic pain"
Urological,Kidney Stone,"Dizziness, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Chills, Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Strep Throat,"Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Infectious,Strep Throat,"Dizziness, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fatigue, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Malaise, Nausea, Stomach cramps, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Body aches, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing, Weakness"
Urological,Kidney Stone,"Chills, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back, Weakness"
Infectious,COVID-19,"Body aches, Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Chills, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Malaise, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Headache"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Nausea, Stomach cramps, Vomiting, Weakness"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Allergy,Allergic Rhinitis (Hay Fever),"Fatigue, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Chronic,Hypertension,"Dizziness, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Urological,Kidney Stone,"Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Dizziness, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Asthma,"Body aches, Chest tightness, Chills, Coughing (especially at night), Loss of appetite, Shortness of breath, Wheezing"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Nausea, Runny nose, Sore throat"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Infectious,Strep Throat,"Body aches, Chills, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Swollen joints"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Malaise, Swollen joints"
Infectious,Strep Throat,"Dizziness, Fatigue, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Acute/Surgical,Appendicitis,"Abdominal swelling, Body aches, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Nausea, Runny nose, Sore throat"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Malaise, Shortness of breath"
Neurological,Migraine,"Body aches, Fatigue, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Malaise"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Swelling, Tenderness to touch, Weakness"
Urological,Kidney Stone,"Body aches, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Dizziness, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Nausea, Slow-healing sores, Unexplained weight loss"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Urological,Kidney Stone,"Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Chills, Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Shortness of breath, Wheezing"
Neurological,Migraine,"Body aches, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Neurological,Migraine,"Body aches, Dizziness, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Urological,Kidney Stone,"Dizziness, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Allergy,Allergic Rhinitis (Hay Fever),"Chills, Itchy, watery eyes, Malaise, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Nausea, Swelling, Tenderness to touch, Weakness"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath, Weakness"
Allergy,Allergic Rhinitis (Hay Fever),"Itchy, watery eyes, Nasal congestion, Nausea, Runny nose, Sneezing"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Urological,Kidney Stone,"Body aches, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Malaise, Swelling, Tenderness to touch"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Dizziness, Fatigue, Fever, Malaise"
Neurological,Migraine,"Chills, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Malaise, Nausea, Shortness of breath, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Inability to bear weight, Swelling, Tenderness to touch"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Headache, Pain or burning on urination, Pelvic pain"
Chronic,Hypertension,"Dizziness, Fatigue, Fever, Headaches, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Urological,Kidney Stone,"Chills, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever"
Urological,Kidney Stone,"Fatigue, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Influenza (Flu),"Body aches, Chills, Dry cough, High fever, Runny nose, Sore throat"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Nausea"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Headache, Malaise, Pain or burning on urination, Pelvic pain"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Nausea, Swollen joints"
Infectious,Influenza (Flu),"Body aches, Dizziness, Dry cough, Fever, High fever, Runny nose, Sore throat"
Infectious,COVID-19,"Body aches, Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Shortness of breath"
Urological,Kidney Stone,"Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Inability to bear weight, Loss of appetite, Nausea, Swelling, Tenderness to touch"
Infectious,Strep Throat,"Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Headache, Malaise"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Headache, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Weakness"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Acute/Surgical,Appendicitis,"Abdominal swelling, Chills, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Asthma,"Body aches, Chest tightness, Coughing (especially at night), Shortness of breath, Weakness, Wheezing"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Nausea, Runny nose, Sore throat, Weakness"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath, Weakness"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat, Weakness"
