Disease,Symptoms
Bacterial Pneumonia,"sweating, shortness of breath, shaking chills, chest pain, productive cough"
Migraine,"severe throbbing headache, nausea, vision changes, sensitivity to light, sensitivity to sound, aura, vomiting"
Bacterial Pneumonia,"confusion, chest pain, shaking chills, nausea, shortness of breath, productive cough, fatigue, high fever"
Migraine,"nausea, aura, sensitivity to light, neck pain, sensitivity to sound, severe throbbing headache"
Allergic Rhinitis,"mild headache, sore throat, runny nose, sneezing, cough, itchy eyes"
Migraine,"sensitivity to light, vomiting, vision changes, severe throbbing headache, neck pain, nausea"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain, mild sensitivity to light, neck stiffness"
Allergic Rhinitis,"nasal congestion, itchy eyes, runny nose, sneezing"
Seasonal Flu,"fatigue, diarrhea, high fever, sore throat, headache"
Dehydration,"dry mouth, fatigue, dizziness"
Tension Headache,"mild sensitivity to light, tightness across forehead, scalp tenderness, dull, aching head pain"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain"
Dehydration,"dry mouth, dizziness, thirst, fatigue"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain"
Tension Headache,"dull, aching head pain, neck stiffness, tightness across forehead, scalp tenderness"
Bacterial Pneumonia,"confusion, chest pain, productive cough, shortness of breath, fatigue, nausea, shaking chills, high fever"
Gastroenteritis,"headache, vomiting, loss of appetite, nausea, fatigue, diarrhea, abdominal cramps"
Dehydration,"dry mouth, thirst, dizziness, fatigue"
Allergic Rhinitis,"nasal congestion, runny nose, watery eyes, sore throat, cough, sneezing, itchy eyes"
Bacterial Pneumonia,"shaking chills, shortness of breath, chest pain, productive cough"
Allergic Rhinitis,"sore throat, itchy eyes, runny nose, nasal congestion, cough, sneezing, watery eyes"
Strep Throat,"tiny red spots on roof of mouth, fever, pain when swallowing"
Common Cold,"runny nose, cough, sore throat"
Strep Throat,"pain when swallowing, tiny red spots on roof of mouth, rash, fever"
Bacterial Pneumonia,"shaking chills, shortness of breath, high fever"
Gastroenteritis,"nausea, diarrhea, vomiting, abdominal cramps"
Migraine,"sensitivity to sound, vomiting, severe throbbing headache, nausea"
Seasonal Flu,"fatigue, severe body aches, chills"
Strep Throat,"rash, sudden sore throat, pain when swallowing, tiny red spots on roof of mouth, body aches, stomach ache"
Common Cold,"low fever, sore throat, mild headache, fatigue, sneezing, runny nose"
Common Cold,"sneezing, low fever, watery eyes, runny nose, cough"
Gastroenteritis,"vomiting, abdominal cramps, nausea, diarrhea"
Common Cold,"sore throat, fatigue, sneezing, runny nose, watery eyes, cough"
Seasonal Flu,"severe body aches, fatigue, high fever, chills, headache"
Dehydration,"dizziness, fatigue, dark urine, dry mouth"
Bacterial Pneumonia,"confusion, shortness of breath, high fever, productive cough, shaking chills, sweating, nausea, chest pain"
Minor Sprain/Strain,"bruising, muscle stiffness, swelling, localized pain, limited range of motion, tenderness"
Bacterial Pneumonia,"fatigue, shaking chills, high fever, productive cough, confusion, chest pain, sweating"
Seasonal Flu,"headache, chills, fatigue, severe body aches, high fever"
Strep Throat,"pain when swallowing, stomach ache, fever, tiny red spots on roof of mouth"
Gastroenteritis,"abdominal cramps, nausea, diarrhea"
Common Cold,"runny nose, cough, sneezing, sore throat, low fever"
Dehydration,"dry mouth, fatigue, dizziness"
Seasonal Flu,"headache, chills, high fever, diarrhea, fatigue, severe body aches"
Gastroenteritis,"low-grade fever, nausea, abdominal cramps, vomiting"
Migraine,"sensitivity to sound, severe throbbing headache, sensitivity to light, nausea"
Bacterial Pneumonia,"productive cough, shortness of breath, chest pain, high fever"
Gastroenteritis,"nausea, diarrhea, vomiting, low-grade fever, loss of appetite, headache"
Tension Headache,"scalp tenderness, tightness across forehead, dull, aching head pain"
Common Cold,"cough, low fever, fatigue, sore throat, sneezing, mild headache"
Strep Throat,"pain when swallowing, sudden sore throat, tiny red spots on roof of mouth, headache, fever"
Migraine,"severe throbbing headache, vision changes, aura, vomiting, sensitivity to sound, nausea, sensitivity to light"
Dehydration,"thirst, dizziness, dry mouth, confusion"
Seasonal Flu,"headache, chills, high fever, diarrhea, fatigue, nausea"
Strep Throat,"fever, pain when swallowing, tiny red spots on roof of mouth"
Gastroenteritis,"vomiting, diarrhea, nausea, abdominal cramps"
Migraine,"sensitivity to sound, aura, severe throbbing headache, sensitivity to light"
Migraine,"severe throbbing headache, nausea, vision changes, neck pain, vomiting, sensitivity to sound"
Seasonal Flu,"high fever, cough, fatigue, severe body aches, headache"
Allergic Rhinitis,"sneezing, nasal congestion, itchy eyes, watery eyes"
Minor Sprain/Strain,"limited range of motion, swelling, tenderness, cramping, bruising"
Migraine,"vomiting, sensitivity to sound, sensitivity to light, severe throbbing headache"
Minor Sprain/Strain,"bruising, localized pain, tenderness, swelling, limited range of motion"
Bacterial Pneumonia,"sweating, confusion, productive cough, shaking chills, shortness of breath"
Bacterial Pneumonia,"shaking chills, high fever, sweating, nausea, productive cough, fatigue"
Migraine,"nausea, severe throbbing headache, sensitivity to sound, sensitivity to light, vomiting, aura"
Minor Sprain/Strain,"tenderness, localized pain, limited range of motion, cramping, muscle stiffness, bruising"
Dehydration,"fatigue, dry mouth, thirst"
Bacterial Pneumonia,"chest pain, shortness of breath, productive cough, confusion, nausea"
Gastroenteritis,"loss of appetite, nausea, abdominal cramps, vomiting, diarrhea"
Dehydration,"confusion, headache, dry mouth, dizziness, thirst, dark urine, fatigue"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead"
Bacterial Pneumonia,"fatigue, chest pain, shaking chills, shortness of breath, confusion, high fever"
Migraine,"sensitivity to light, sensitivity to sound, neck pain, nausea"
Minor Sprain/Strain,"localized pain, cramping, bruising, limited range of motion, tenderness, muscle stiffness, swelling"
Gastroenteritis,"abdominal cramps, nausea, vomiting, diarrhea"
Allergic Rhinitis,"runny nose, itchy eyes, sore throat, sneezing, mild headache, watery eyes"
Allergic Rhinitis,"runny nose, itchy eyes, nasal congestion, sneezing, watery eyes"
Migraine,"nausea, sensitivity to light, severe throbbing headache, neck pain"
Dehydration,"dizziness, dry mouth, thirst, confusion, fatigue"
Dehydration,"fatigue, thirst, dizziness, dry mouth"
Gastroenteritis,"loss of appetite, abdominal cramps, low-grade fever, nausea, diarrhea"
Allergic Rhinitis,"runny nose, sneezing, cough, mild headache, nasal congestion, itchy eyes, watery eyes"
Bacterial Pneumonia,"shaking chills, chest pain, shortness of breath, productive cough, confusion, high fever"
Seasonal Flu,"nausea, chills, sore throat, fatigue, diarrhea, severe body aches, high fever, headache"
Tension Headache,"neck stiffness, mild sensitivity to light, scalp tenderness, tightness across forehead, shoulder pain, dull, aching head pain"
Dehydration,"dizziness, infrequent urination, fatigue, dry mouth, headache"
Common Cold,"runny nose, low fever, fatigue, sneezing, cough, sore throat"
Tension Headache,"dull, aching head pain, mild sensitivity to light, scalp tenderness, tightness across forehead, shoulder pain"
Common Cold,"runny nose, sneezing, fatigue, watery eyes, cough, low fever"
Migraine,"severe throbbing headache, vision changes, nausea, sensitivity to sound, vomiting"
Gastroenteritis,"vomiting, headache, abdominal cramps, fatigue, loss of appetite, diarrhea"
Dehydration,"thirst, dizziness, dark urine, fatigue, dry mouth"
Common Cold,"sneezing, runny nose, cough, low fever, sore throat"
Strep Throat,"tiny red spots on roof of mouth, pain when swallowing, fever, sudden sore throat, stomach ache"
Dehydration,"thirst, dizziness, dark urine, dry mouth, fatigue"
Seasonal Flu,"severe body aches, high fever, fatigue"
Strep Throat,"stomach ache, pain when swallowing, fever, sudden sore throat"
Strep Throat,"sudden sore throat, tiny red spots on roof of mouth, pain when swallowing, fever"
Seasonal Flu,"cough, headache, high fever, chills, sore throat, diarrhea"
Migraine,"sensitivity to sound, severe throbbing headache, nausea"
Seasonal Flu,"headache, sore throat, high fever, nausea, fatigue, severe body aches, cough, chills"
Seasonal Flu,"cough, severe body aches, fatigue, headache, chills"
Gastroenteritis,"vomiting, headache, nausea, diarrhea, loss of appetite, fatigue"
Strep Throat,"fever, stomach ache, pain when swallowing, sudden sore throat"
Allergic Rhinitis,"nasal congestion, runny nose, itchy eyes, sneezing, watery eyes"
Migraine,"sensitivity to light, nausea, severe throbbing headache, sensitivity to sound, vision changes, aura"
Bacterial Pneumonia,"confusion, high fever, shaking chills, nausea, productive cough, shortness of breath, sweating, chest pain"
Minor Sprain/Strain,"localized pain, tenderness, limited range of motion, swelling, cramping, muscle stiffness"
Tension Headache,"neck stiffness, mild sensitivity to light, dull, aching head pain, scalp tenderness, tightness across forehead, shoulder pain"
Strep Throat,"pain when swallowing, sudden sore throat, tiny red spots on roof of mouth, stomach ache"
Gastroenteritis,"diarrhea, headache, low-grade fever, vomiting, abdominal cramps, nausea"
Seasonal Flu,"cough, fatigue, high fever, diarrhea, chills"
Migraine,"severe throbbing headache, neck pain, sensitivity to light, sensitivity to sound"
Gastroenteritis,"low-grade fever, vomiting, diarrhea, abdominal cramps, nausea"
Tension Headache,"dull, aching head pain, tightness across forehead, shoulder pain, neck stiffness, mild sensitivity to light, scalp tenderness"
Allergic Rhinitis,"cough, sore throat, itchy eyes, runny nose, watery eyes"
Seasonal Flu,"chills, high fever, severe body aches, cough, fatigue, headache"
Gastroenteritis,"vomiting, diarrhea, fatigue, headache, nausea, low-grade fever"
Common Cold,"cough, runny nose, watery eyes, sneezing"
Seasonal Flu,"fatigue, high fever, chills, severe body aches, nausea"
Common Cold,"mild headache, cough, sneezing, runny nose"
Gastroenteritis,"nausea, fatigue, abdominal cramps, vomiting, diarrhea, headache"
Seasonal Flu,"fatigue, headache, high fever"
Bacterial Pneumonia,"high fever, shortness of breath, nausea, shaking chills, chest pain, productive cough"
Tension Headache,"tightness across forehead, shoulder pain, dull, aching head pain, scalp tenderness, mild sensitivity to light"
Allergic Rhinitis,"sneezing, nasal congestion, runny nose, watery eyes"
Gastroenteritis,"diarrhea, abdominal cramps, vomiting, nausea, headache"
Minor Sprain/Strain,"limited range of motion, swelling, bruising, localized pain, cramping"
Gastroenteritis,"fatigue, abdominal cramps, vomiting, diarrhea, nausea"
Dehydration,"thirst, dizziness, fatigue, dry mouth"
Tension Headache,"dull, aching head pain, tightness across forehead, scalp tenderness, neck stiffness, shoulder pain"
Tension Headache,"shoulder pain, tightness across forehead, scalp tenderness, dull, aching head pain"
Seasonal Flu,"headache, sore throat, chills, fatigue, nausea, severe body aches"
Allergic Rhinitis,"cough, runny nose, nasal congestion, itchy eyes, watery eyes, sneezing"
Allergic Rhinitis,"watery eyes, itchy eyes, sneezing, mild headache, runny nose"
Seasonal Flu,"fatigue, headache, nausea, severe body aches, chills, high fever, diarrhea"
